STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
"Andaman And Nicobar","South Andaman",PMGSY-I,32,0,31,0,1,0,40.146,18.5375,39.287,11.6894,0.541
"Andhra Pradesh",Anakapalli,PMGSY-II,5,0,5,0,0,0,34.62,21.309,31.291,16.1277,0
"Andhra Pradesh",Anantapur,PMGSY-III,16,5,14,0,2,5,145.623,109.8399,122.207,66.6426,18.7
"Andhra Pradesh",Chittoor,PMGSY-I,148,3,148,3,0,0,482.261,101.8512,471.991,100.7436,0
"Andhra Pradesh","Dr BR Ambedkar Konaseema",PMGSY-I,209,8,209,8,0,0,443.65,126.9822,427.215,141.9707,0
"Andhra Pradesh","Dr BR Ambedkar Konaseema",PMGSY-II,6,0,6,0,0,0,47.223,24.736,45.354,20.979,0
"Andhra Pradesh","Dr BR Ambedkar Konaseema",PMGSY-III,11,1,9,1,2,0,76.433,48.80619,58.12,38.5881,16.59
"Andhra Pradesh",Eluru,PM-JANMAN,5,0,0,0,5,0,21.998,13.555,0,0,21.998
"Andhra Pradesh",Guntur,PMGSY-II,4,0,4,0,0,0,35.1,17.3794,34.839,13.8579,0
"Andhra Pradesh",Kakinada,PMGSY-III,12,1,4,0,8,1,87.62,47.5397,24.85,10.6521,61.04
"Andhra Pradesh",Kurnool,PMGSY-III,11,0,8,0,3,0,102.633,46.9505,79.163,31.567,19.62
"Andhra Pradesh",Nandyal,PMGSY-III,12,3,11,1,1,2,113.91,87.6318,101.894,73.3457,6.5
"Andhra Pradesh",Ntr,PMGSY-III,6,2,3,0,3,2,47.028,28.8447,24.25,13.0383,21.578
"Andhra Pradesh",Palnadu,PMGSY-II,7,1,7,1,0,0,80.46,44.8013,79.551,42.3108,0
"Andhra Pradesh",Prakasam,PMGSY-III,15,4,12,0,3,4,141.414,105.29,108.919,61.3385,29.22
"Andhra Pradesh","Sri Sathya Sai",PMGSY-II,6,0,6,0,0,0,50.68,26.0758,49.658,21.8303,0
"Andhra Pradesh",Srikakulam,PMGSY-I,211,7,211,7,0,0,561.36,123.0353,560.68,120.4759,0
"Andhra Pradesh",Srikakulam,PMGSY-III,16,10,15,0,1,10,121.865,133.01448,113.667,65.9959,4.8
"Arunachal Pradesh","Dibang Valley",PMGSY-I,16,0,13,0,3,0,201.68,203.992,184.88,167.8733,16.8
